CUSIP Number,SEDOL Number,Local Currency Code,Trade Country Name,Security Name,Security Description,Maturity Date,Interest Rate,Original Face,Shares/Par Value,Base Market Value,Base Total Cost,Base Unrealized Gain/Loss,Base Accrued Interest,Local Market Value,Local Total Cost Amount,Local Unrealized Gain/Loss,Local Accrued Interest,Period End Date,Asset Class,Investment Type Name,Major Industry Name,Minor Industry Name,Moody's Quality Rating,S and P Quality Rating,Direct/Group Trust Holding
'B54X3L903,'B54X3L1,HKD,HONG KONG,BRIGHT SMART SECURITIES AND,COMMON STOCK HKD.3,12/31/1899,0,0,379936.5,111939.99,157489.53,-45549.53,0,873853.96,1221626.61,-347772.65,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,CAPITAL MARKETS,NA,NA,Group Trust
'10921T101,'B4XS3D2,USD,UNITED STATES OF AMERICA (THE),BRIGHTCOVE,COMMON STOCK USD.001,12/31/1899,0,0,2862.8,17749.38,29495.66,-11746.27,0,17749.38,29495.66,-11746.27,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,INTERNET SOFTWARE & SERVICES,NA,NR,Group Trust
'618148902,'6181482,HKD,HONG KONG,BRILLIANCE CHINA AUTOMOTIVE,COMMON STOCK USD.01,12/31/1899,0,0,54000,98364.81,84042.9,14321.91,0,767880,653400,114480,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,AUTOMOBILES,NA,NA,Group Trust
'618148902,'6181482,HKD,HONG KONG,BRILLIANCE CHINA AUTOMOTIVE,COMMON STOCK USD.01,12/31/1899,0,0,71587.17,130401.09,92323.85,38077.24,0,1017969.55,717284.61,300684.94,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,AUTOMOBILES,NA,NA,Group Trust
'109696104,'2691305,USD,UNITED STATES OF AMERICA (THE),BRINK S CO/THE,COMMON STOCK USD1.0,12/31/1899,0,0,4037.47,270510.53,141815.07,128695.46,0,270510.53,141815.07,128695.46,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,COMMERCIAL SERVICES & SUPPLIES,NA,B+,Group Trust
'109641100,'2193544,USD,UNITED STATES OF AMERICA (THE),BRINKER INTERNATIONAL INC,COMMON STOCK USD.1,12/31/1899,0,0,1042.29,39711.35,39130.72,580.63,0,39711.35,39130.72,580.63,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,"HOTELS, RESTAURANTS & LEISURE",NA,B+,Group Trust
'532302908,'5323025,EUR,ITALY,CEMBRE SPA,COMMON STOCK EUR.52,12/31/1899,0,0,1698.96,40150.08,35752.02,4398.06,0,35202.38,32727.72,2474.67,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,ELECTRICAL EQUIPMENT,NA,NA,Group Trust
'109641100,'2193544,USD,UNITED STATES OF AMERICA (THE),BRINKER INTERNATIONAL INC,COMMON STOCK USD.1,12/31/1899,0,0,3280.44,124984.95,123157.5,1827.46,0,124984.95,123157.5,1827.46,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,"HOTELS, RESTAURANTS & LEISURE",NA,B+,Group Trust
'110122108,'2126335,USD,UNITED STATES OF AMERICA (THE),BRISTOL MYERS SQUIBB CO,COMMON STOCK USD.1,12/31/1899,0,0,53719.67,2993259.84,3042843.09,-49583.25,0,2993259.84,3042843.09,-49583.25,0,6/30/17,EQUITY,COMMON STOCK,HEALTH CARE,PHARMACEUTICALS,NA,B+,Group Trust
'110122108,'2126335,USD,UNITED STATES OF AMERICA (THE),BRISTOL MYERS SQUIBB CO,COMMON STOCK USD.1,12/31/1899,0,0,56837.47,3166983.91,3428789.84,-261805.93,0,3166983.91,3428789.84,-261805.93,0,6/30/17,EQUITY,COMMON STOCK,HEALTH CARE,PHARMACEUTICALS,NA,B+,Group Trust
'110394103,'2656229,USD,UNITED STATES OF AMERICA (THE),BRISTOW GROUP INC,COMMON STOCK USD.01,12/31/1899,0,0,2720.53,20812.05,132901.99,-112089.94,0,20812.05,132901.99,-112089.94,0,6/30/17,EQUITY,COMMON STOCK,ENERGY,ENERGY EQUIPMENT & SERVICES,NA,B+,Group Trust
'612477901,'6124777,INR,INDIA,BRITANNIA INDUSTRIES LTD,COMMON STOCK INR2.,12/31/1899,0,0,2200,125594.43,124905.52,688.91,0,8118110,8050310.54,67799.46,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,FOOD PRODUCTS,NA,NA,Group Trust
'675234009,'6752349,MYR,MALAYSIA,BRITISH AMERICAN TOBACCO BHD,COMMON STOCK MYR.5,12/31/1899,0,0,2798.28,28304.54,43269.47,-14964.93,0,121501.49,155433.91,-33932.42,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,TOBACCO,NA,NA,Group Trust
'028758902,'0287580,GBP,UNITED KINGDOM,BRITISH AMERICAN TOBACCO PLC,COMMON STOCK GBP.25,12/31/1899,0,0,1164,79136.87,77315.69,1821.18,0,60923.76,60353.4,570.36,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,TOBACCO,NA,NA,Group Trust
'11120U105,'BFTDJL8,USD,UNITED STATES OF AMERICA (THE),BRIXMOR PROPERTY GROUP INC,REIT USD.01,12/31/1899,0,0,19336.08,345729.09,414037.18,-68308.09,0,345729.09,414037.18,-68308.09,0,6/30/17,EQUITY,REAL ESTATE INV TRST,REAL ESTATE,EQUITY RE INVESTMENT TRUSTS (R,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'Y09827109,'BD9WQP4,USD,UNITED STATES OF AMERICA (THE),BROADCOM LTD,COMMON STOCK,12/31/1899,0,0,27968.76,6518119.35,2918721.11,3599398.24,0,6518119.35,2918721.11,3599398.24,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,SEMICONDUCTORS & SEMICONDUCTOR,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'11133T103,'B1VP7R6,USD,UNITED STATES OF AMERICA (THE),BROADRIDGE FINANCIAL SOLUTIO,COMMON STOCK USD.01,12/31/1899,0,0,8141.94,615205,301643.25,313561.75,0,615205,301643.25,313561.75,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,IT SERVICES,NA,NR,Group Trust
'11133B409,'B5M9PG0,USD,UNITED STATES OF AMERICA (THE),BROADSOFT INC,COMMON STOCK,12/31/1899,0,0,2697.78,116139.41,93918.84,22220.56,0,116139.41,93918.84,22220.56,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,SOFTWARE,NA,NR,Group Trust
'111621306,'2422174,USD,UNITED STATES OF AMERICA (THE),BROCADE COMMUNICATIONS SYS,COMMON STOCK USD.001,12/31/1899,0,0,25850.37,325973.21,217891.38,108081.83,0,325973.21,217891.38,108081.83,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT,NA,B,Group Trust
'112463104,'B0PZN33,USD,UNITED STATES OF AMERICA (THE),BROOKDALE SENIOR LIVING INC,COMMON STOCK USD.01,12/31/1899,0,0,11490.85,169030.46,347451.43,-178420.97,0,169030.46,347451.43,-178420.97,0,6/30/17,EQUITY,COMMON STOCK,HEALTH CARE,HEALTH CARE PROVIDERS & SERVIC,NA,NR,Group Trust
'11373M107,'2967675,USD,UNITED STATES OF AMERICA (THE),BROOKLINE BANCORP INC,COMMON STOCK USD.01,12/31/1899,0,0,6409,93571.42,66135.25,27436.17,0,93571.42,66135.25,27436.17,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,BANKS,NA,B+,Group Trust
'114340102,'2145460,USD,UNITED STATES OF AMERICA (THE),BROOKS AUTOMATION INC,COMMON STOCK USD.01,12/31/1899,0,0,6047.97,131180.44,152486.98,-21306.54,0,131180.44,152486.98,-21306.54,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,SEMICONDUCTORS & SEMICONDUCTOR,NA,B-,Group Trust
'115236101,'2692687,USD,UNITED STATES OF AMERICA (THE),BROWN + BROWN INC,COMMON STOCK USD.1,12/31/1899,0,0,7429.08,319970.5,234888.64,85081.86,0,319970.5,234888.64,85081.86,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,INSURANCE,NA,A,Group Trust
'115637100,'2146816,USD,UNITED STATES OF AMERICA (THE),BROWN FORMAN CORP CLASS A,COMMON STOCK USD.15,12/31/1899,0,0,293.38,14463.87,16225.33,-1761.46,0,14463.87,16225.33,-1761.46,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,BEVERAGES,NA,A,Group Trust
'115637100,'2146816,USD,UNITED STATES OF AMERICA (THE),BROWN FORMAN CORP CLASS A,COMMON STOCK USD.15,12/31/1899,0,0,4165.06,205337.3,223183.08,-17845.78,0,205337.3,223183.08,-17845.78,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,BEVERAGES,NA,A,Group Trust
'115637209,'2146838,USD,UNITED STATES OF AMERICA (THE),BROWN FORMAN CORP CLASS B,COMMON STOCK USD.15,12/31/1899,0,0,700.66,34052.08,32995.83,1056.25,0,34052.08,32995.83,1056.25,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,BEVERAGES,NA,A,Group Trust
'115637209,'2146838,USD,UNITED STATES OF AMERICA (THE),BROWN FORMAN CORP CLASS B,COMMON STOCK USD.15,12/31/1899,0,0,11174.33,543072.44,408608.56,134463.89,0,543072.44,408608.56,134463.89,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,BEVERAGES,NA,A,Group Trust
'05577W952,'B9B3FG1,CAD,CANADA,BRP INC/CA  SUB VOTING,COMMON STOCK,12/31/1899,0,0,3898.87,114051.09,76648.45,37402.65,0,148118.16,101447.88,46670.28,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,LEISURE PRODUCTS,0,0,Group Trust
'116794108,'2616137,USD,UNITED STATES OF AMERICA (THE),BRUKER CORP,COMMON STOCK USD.01,12/31/1899,0,0,2662.57,76788.58,55657.75,21130.84,0,76788.58,55657.75,21130.84,0,6/30/17,EQUITY,COMMON STOCK,HEALTH CARE,LIFE SCIENCES,NA,B-,Group Trust
'116794108,'2616137,USD,UNITED STATES OF AMERICA (THE),BRUKER CORP,COMMON STOCK USD.01,12/31/1899,0,0,4225.5,121863.41,126612.04,-4748.62,0,121863.41,126612.04,-4748.62,0,6/30/17,EQUITY,COMMON STOCK,HEALTH CARE,LIFE SCIENCES,NA,B-,Group Trust
'117043109,'2149309,USD,UNITED STATES OF AMERICA (THE),BRUNSWICK CORP,COMMON STOCK USD.75,12/31/1899,0,0,1142.43,71664.41,57358.3,14306.11,0,71664.41,57358.3,14306.11,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,LEISURE PRODUCTS,NA,B-,Group Trust
'117043109,'2149309,USD,UNITED STATES OF AMERICA (THE),BRUNSWICK CORP,COMMON STOCK USD.75,12/31/1899,0,0,5012.05,314406.16,253868.25,60537.91,0,314406.16,253868.25,60537.91,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,LEISURE PRODUCTS,NA,B-,Group Trust
'117665109,'2619642,USD,UNITED STATES OF AMERICA (THE),BRYN MAWR BANK CORP,COMMON STOCK USD1.0,12/31/1899,0,0,1409.83,59917.81,41255.87,18661.93,0,59917.81,41255.87,18661.93,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,BANKS,NA,B+,Group Trust
'05573H108,'B6X0LC7,USD,UNITED STATES OF AMERICA (THE),BSB BANCORP INC/MA,COMMON STOCK USD.01,12/31/1899,0,0,165.02,4826.97,4802.7,24.27,0,4826.97,4802.7,24.27,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,THRIFTS & MORTGAGE FINANCE,NA,NR,Group Trust
'05573H108,'B6X0LC7,USD,UNITED STATES OF AMERICA (THE),BSB BANCORP INC/MA,COMMON STOCK USD.01,12/31/1899,0,0,504.08,14744.3,11512.34,3231.96,0,14744.3,11512.34,3231.96,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,THRIFTS & MORTGAGE FINANCE,NA,NR,Group Trust
'309135903,'3091357,GBP,UNITED KINGDOM,BT GROUP PLC,COMMON STOCK GBP.05,12/31/1899,0,0,9990,38248.25,39864.79,-1616.54,0,29445.53,31118.85,-1673.32,0,6/30/17,EQUITY,COMMON STOCK,TELECOMMUNICATION SERVICES,DIVERSIFIED TELECOMMUNICATION,NA,NA,Group Trust
'B0H72C908,'B0H72C9,THB,THAILAND,BTS GROUP HOLDINGS PCL NVDR,NVDR THB4.0,12/31/1899,0,0,161539.78,40420.61,42588.57,-2167.96,0,1373088.1,1454482.34,-81394.25,0,6/30/17,EQUITY,DEPOSITORY RECEIPTS,INDUSTRIALS,ROAD & RAIL,NA,NA,Group Trust
'B07ZBW903,'B07ZBW6,CHF,SWITZERLAND,BUCHER INDUSTRIES AG REG,COMMON STOCK CHF.2,12/31/1899,0,0,169.43,53386.78,54576.89,-1190.11,0,51125.85,53185.18,-2059.33,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,MACHINERY,NA,NA,Group Trust
'118440106,'2149934,USD,UNITED STATES OF AMERICA (THE),BUCKLE INC/THE,COMMON STOCK USD.01,12/31/1899,0,0,2284.25,40659.71,54845.47,-14185.77,0,40659.71,54845.47,-14185.77,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,SPECIALTY RETAIL,NA,A-,Group Trust
'BJZ2Z0908,'BJZ2Z08,SEK,SWEDEN,BUFAB AB,COMMON STOCK SEK.01,12/31/1899,0,0,1849.56,20393.41,15355.55,5037.86,0,172009.28,140634.61,31374.67,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,TRADING COMPANIES & DISTRIBUTO,NA,NA,Group Trust
'119848109,'2170309,USD,UNITED STATES OF AMERICA (THE),BUFFALO WILD WINGS INC,COMMON STOCK,12/31/1899,0,0,1413.83,179132.09,158307.53,20824.56,0,179132.09,158307.53,20824.56,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,"HOTELS, RESTAURANTS & LEISURE",NA,B+,Group Trust
'120076104,'B034L50,USD,UNITED STATES OF AMERICA (THE),BUILD A BEAR WORKSHOP INC,COMMON STOCK USD.01,12/31/1899,0,0,1142.36,11937.67,16071.15,-4133.48,0,11937.67,16071.15,-4133.48,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,SPECIALTY RETAIL,NA,C,Group Trust
'12008R107,'B0BV2M7,USD,UNITED STATES OF AMERICA (THE),BUILDERS FIRSTSOURCE INC,COMMON STOCK USD.01,12/31/1899,0,0,8314.65,127380.48,79165.98,48214.49,0,127380.48,79165.98,48214.49,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,BUILDING PRODUCTS,NA,NR,Group Trust
'B2RJPM900,'B2RJPM0,IDR,INDONESIA,BUMI SERPONG DAMAI PT,COMMON STOCK IDR100.0,12/31/1899,0,0,93878.35,12890.44,18208.36,-5317.92,0,171797388.8,194050234.2,-22252845.35,0,6/30/17,EQUITY,COMMON STOCK,REAL ESTATE,REAL ESTATE MANAGEMENT & DEVEL,NA,NA,Group Trust
'B0166J908,'B0166J7,THB,THAILAND,BUMRUNGRAD HOSPITAL PCL NVDR,NVDR THB1.0,12/31/1899,0,0,8904.25,44953.74,42514.8,2438.94,0,1527078.62,1463350.54,63728.07,0,6/30/17,EQUITY,DEPOSITORY RECEIPTS,HEALTH CARE,HEALTH CARE PROVIDERS & SERVIC,NA,NA,Group Trust
'G16962105,'2788713,USD,UNITED STATES OF AMERICA (THE),BUNGE LTD,COMMON STOCK USD.01,12/31/1899,0,0,8995.82,671087.93,675342.47,-4254.54,0,671087.93,675342.47,-4254.54,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER STAPLES,FOOD PRODUCTS,NA,NR,Group Trust
'122017106,'BF311Y5,USD,UNITED STATES OF AMERICA (THE),BURLINGTON STORES INC,COMMON STOCK USD.0001,12/31/1899,0,0,1867.3,171772.99,118986.71,52786.28,0,171772.99,118986.71,52786.28,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,SPECIALTY RETAIL,NA,NR,Group Trust
'ACI0H71Y6,'BYM8TG8,INR,INDIA,CADILA HEALTHCARE LTD,COMMON STOCK INR1.0,12/31/1899,0,0,4043.38,32850.64,23790.26,9060.38,0,2123383.43,1611641.68,511741.75,0,6/30/17,EQUITY,COMMON STOCK,HEALTH CARE,PHARMACEUTICALS,0,0,Group Trust
'122017106,'BF311Y5,USD,UNITED STATES OF AMERICA (THE),BURLINGTON STORES INC,COMMON STOCK USD.0001,12/31/1899,0,0,2835.51,260838.72,189234.22,71604.5,0,260838.72,189234.22,71604.5,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,SPECIALTY RETAIL,NA,NR,Group Trust
'ACI087RH5,'BLMP1D9,EUR,AUSTRIA,BUWOG AG,COMMON STOCK,12/31/1899,0,0,4042.63,115985.27,114353.69,1631.59,0,101692.41,102147.12,-454.71,0,6/30/17,EQUITY,COMMON STOCK,REAL ESTATE,REAL ESTATE MANAGEMENT & DEVEL,NA,NA,Group Trust
'05605H100,'BZ0W624,USD,UNITED STATES OF AMERICA (THE),BWX TECHNOLOGIES INC,COMMON STOCK USD.01,12/31/1899,0,0,6670.79,325201.19,224363.07,100838.12,0,325201.19,224363.07,100838.12,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,AEROSPACE & DEFENSE,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'653665901,'6536651,HKD,HONG KONG,BYD CO LTD H,COMMON STOCK CNY1.0,12/31/1899,0,0,14738.53,90434.94,60274.94,30160,0,705975.82,467741.34,238234.48,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,AUTOMOBILES,NA,NA,Group Trust
'B29SHS906,'B29SHS5,HKD,HONG KONG,BYD ELECTRONIC INTL CO LTD,COMMON STOCK,12/31/1899,0,0,265515.47,526510.71,192073.87,334436.84,0,4110179.51,1489897.51,2620282,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,COMMUNICATIONS EQUIPMENT,NA,NA,Group Trust
'12466Q104,'2494515,USD,UNITED STATES OF AMERICA (THE),C + F FINANCIAL CORP,COMMON STOCK USD1.0,12/31/1899,0,0,249.7,11710.99,10485.98,1225.01,0,11710.99,10485.98,1225.01,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,BANKS,NA,B+,Group Trust
'12541W209,'2116228,USD,UNITED STATES OF AMERICA (THE),C.H. ROBINSON WORLDWIDE INC,COMMON STOCK USD.1,12/31/1899,0,0,9829.7,675103.55,594842.17,80261.38,0,675103.55,594842.17,80261.38,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,AIR FREIGHT & LOGISTICS,NA,A+,Group Trust
'12674R100,'BD8PMN4,USD,UNITED STATES OF AMERICA (THE),C+J ENERGY SERVICES INC,COMMON STOCK,12/31/1899,0,0,3914.33,134143.95,118224.39,15919.56,0,134143.95,118224.39,15919.56,0,6/30/17,EQUITY,COMMON STOCK,ENERGY,ENERGY EQUIPMENT & SERVICES,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'568104905,'5681046,EUR,AUSTRIA,CA IMMOBILIEN ANLAGEN AG,COMMON STOCK,12/31/1899,0,0,786.77,19167.33,15447.96,3719.37,0,16805.34,13768.85,3036.49,0,6/30/17,EQUITY,COMMON STOCK,REAL ESTATE,REAL ESTATE MANAGEMENT & DEVEL,NA,NA,Group Trust
'12673P105,'2214832,USD,UNITED STATES OF AMERICA (THE),CA INC,COMMON STOCK USD.1,12/31/1899,0,0,20392.91,702943.65,612575.49,90368.16,0,702943.65,612575.49,90368.16,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,SOFTWARE,NA,B,Group Trust
'126804301,'B00N2Z7,USD,UNITED STATES OF AMERICA (THE),CABELA S INC,COMMON STOCK USD.01,12/31/1899,0,0,3225.54,191661.72,190995.34,666.39,0,191661.72,190995.34,666.39,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,SPECIALTY RETAIL,NA,B+,Group Trust
'12685J105,'BZ07DS4,USD,UNITED STATES OF AMERICA (THE),CABLE ONE INC,COMMON STOCK USD.01,12/31/1899,0,0,332.82,236602.82,170647.42,65955.4,0,236602.82,170647.42,65955.4,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,MEDIA,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'127055101,'2162500,USD,UNITED STATES OF AMERICA (THE),CABOT CORP,COMMON STOCK USD1.0,12/31/1899,0,0,3865.39,206527.55,157443.24,49084.31,0,206527.55,157443.24,49084.31,0,6/30/17,EQUITY,COMMON STOCK,MATERIALS,CHEMICALS,NA,B+,Group Trust
'12709P103,'2572381,USD,UNITED STATES OF AMERICA (THE),CABOT MICROELECTRONICS CORP,COMMON STOCK USD.001,12/31/1899,0,0,2185.41,161348.62,153041.94,8306.68,0,161348.62,153041.94,8306.68,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,SEMICONDUCTORS & SEMICONDUCTOR,NA,B,Group Trust
'127097103,'2162340,USD,UNITED STATES OF AMERICA (THE),CABOT OIL + GAS CORP,COMMON STOCK USD.1,12/31/1899,0,0,8496.75,213098.57,209271.11,3827.46,0,213098.57,209271.11,3827.46,0,6/30/17,EQUITY,COMMON STOCK,ENERGY,"OIL, GAS & CONSUMABLE FUELS",NA,B+,Group Trust
'127097103,'2162340,USD,UNITED STATES OF AMERICA (THE),CABOT OIL + GAS CORP,COMMON STOCK USD.1,12/31/1899,0,0,22991.24,576620.17,790825.37,-214205.19,0,576620.17,790825.37,-214205.19,0,6/30/17,EQUITY,COMMON STOCK,ENERGY,"OIL, GAS & CONSUMABLE FUELS",NA,B+,Group Trust
'616443909,'6164438,JPY,JAPAN,CAC HOLDINGS CORP,COMMON STOCK,12/31/1899,0,0,11637.69,108857.4,97136.02,11721.38,0,12231217.18,11040476.86,1190740.32,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,IT SERVICES,NA,NA,Group Trust
'127190304,'2159267,USD,UNITED STATES OF AMERICA (THE),CACI INTERNATIONAL INC  CL A,COMMON STOCK USD.1,12/31/1899,0,0,2066.82,258455.41,165312.55,93142.85,0,258455.41,165312.55,93142.85,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,IT SERVICES,NA,B+,Group Trust
'12739A100,'BYWVH74,USD,UNITED STATES OF AMERICA (THE),CADENCE BANCORP,COMMON STOCK,12/31/1899,0,0,753.78,16492.71,15839.13,653.58,0,16492.71,15839.13,653.58,0,6/30/17,EQUITY,COMMON STOCK,FINANCIALS,BANKS,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'127387108,'2302232,USD,UNITED STATES OF AMERICA (THE),CADENCE DESIGN SYS INC,COMMON STOCK USD.01,12/31/1899,0,0,19530.41,654073.55,301358.41,352715.14,0,654073.55,301358.41,352715.14,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,SOFTWARE,NA,B-,Group Trust
'127537207,'2238661,USD,UNITED STATES OF AMERICA (THE),CADIZ INC,COMMON STOCK USD.01,12/31/1899,0,0,1799.35,24291.17,24026.53,264.64,0,24291.17,24026.53,264.64,0,6/30/17,EQUITY,COMMON STOCK,UTILITIES,WATER UTILITIES,NA,C,Group Trust
'124765959,'2162760,CAD,CANADA,CAE INC,COMMON STOCK,12/31/1899,0,0,5600,96416.42,85073.84,11342.58,0,125216,114352,10864,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,AEROSPACE & DEFENSE,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'124765959,'2162760,CAD,CANADA,CAE INC,COMMON STOCK,12/31/1899,0,0,14600,251371.37,221799.65,29571.72,0,326456,298132,28324,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,AEROSPACE & DEFENSE,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'124765959,'2162760,CAD,CANADA,CAE INC,COMMON STOCK,12/31/1899,0,0,253695.63,4367932.75,2299826.63,2068106.12,0,5672634.26,2550405.29,3122228.97,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,AEROSPACE & DEFENSE,0,0,Group Trust
'12768T103,'BG6JS31,USD,UNITED STATES OF AMERICA (THE),CAESARS ACQUISITION CO CL A,COMMON STOCK USD.001,12/31/1899,0,0,4314.6,82193.06,55972.5,26220.56,0,82193.06,55972.5,26220.56,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,"HOTELS, RESTAURANTS & LEISURE",NA,NR,Group Trust
'127686103,'B3TDL41,USD,UNITED STATES OF AMERICA (THE),CAESARS ENTERTAINMENT CORP,COMMON STOCK USD.01,12/31/1899,0,0,675.2,8102.4,8408.21,-305.81,0,8102.4,8408.21,-305.81,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,"HOTELS, RESTAURANTS & LEISURE",NA,NR,Group Trust
'127686103,'B3TDL41,USD,UNITED STATES OF AMERICA (THE),CAESARS ENTERTAINMENT CORP,COMMON STOCK USD.01,12/31/1899,0,0,4139.24,49670.93,58614.31,-8943.38,0,49670.93,58614.31,-8943.38,0,6/30/17,EQUITY,COMMON STOCK,CONSUMER DISCRETIONARY,"HOTELS, RESTAURANTS & LEISURE",NA,NR,Group Trust
'M20598104,'B796245,USD,UNITED STATES OF AMERICA (THE),CAESARSTONE LTD,COMMON STOCK,12/31/1899,0,0,707.02,24781.04,24641.7,139.33,0,24781.04,24641.7,139.33,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,BUILDING PRODUCTS,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'M20598104,'B796245,USD,UNITED STATES OF AMERICA (THE),CAESARSTONE LTD,COMMON STOCK,12/31/1899,0,0,1277.91,44790.75,44277.25,513.49,0,44790.75,44277.25,513.49,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,BUILDING PRODUCTS,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,Group Trust
'12477X106,'B1VZ4J7,USD,UNITED STATES OF AMERICA (THE),CAI INTERNATIONAL INC,COMMON STOCK USD.0001,12/31/1899,0,0,638.13,15059.9,15451.02,-391.13,0,15059.9,15451.02,-391.13,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,TRADING COMPANIES & DISTRIBUTO,NA,NR,Group Trust
'12477X106,'B1VZ4J7,USD,UNITED STATES OF AMERICA (THE),CAI INTERNATIONAL INC,COMMON STOCK USD.0001,12/31/1899,0,0,742.56,17524.36,15633.11,1891.25,0,17524.36,15633.11,1891.25,0,6/30/17,EQUITY,COMMON STOCK,INDUSTRIALS,TRADING COMPANIES & DISTRIBUTO,NA,NR,Group Trust
'B0764Z908,'B0764Z3,THB,THAILAND,CAL COMP ELECTRONICS THAI F,COMMON STOCK A,12/31/1899,0,0,508390.36,44897.59,51295.06,-6397.48,0,1525171.07,1646852.96,-121681.89,0,6/30/17,EQUITY,COMMON STOCK,INFORMATION TECHNOLOGY,"ELECTRONIC EQUIP, INSTRUMENT &",NA,NA,Group Trust
